experiment,corpus,level,variant,dict_size,ratio,train_wall_s,note
E1_FIX,apijson,19,default_sweep_cand_16384,16384,4.327691,0.257,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=0.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_65536,65536,4.778330,0.229,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=0.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_112640,112640,4.890110,0.242,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=0.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_262144,262144,5.129705,0.267,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=1.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_524288,524288,5.440994,0.368,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=1.4s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_786432,786432,5.560650,0.297,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=1.7s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_1048576,1048576,5.681249,0.300,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=2.0s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_1310720,1310720,5.656394,0.331,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=2.3s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_1572864,1572864,5.722542,0.490,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=2.8s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_1835008,1835008,5.782134,0.395,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=3.2s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_cand_2097152,1996230,5.267219,0.341,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=1317.5s; accumulated=3.5s; evaluated on train-internal val split (seed=1729)"
E1_FIX,apijson,19,default_sweep_winner,1835008,5.384681,0.395,"winner=default_1835008b (by val_ratio=5.782134); trainer=default(fastCOVER, --train); equal-compute budget=1317.5s (=MAIN full train_wall_s); heldout ratio (no refit-on-full)"
E1_FIX,csvrows,3,default_sweep_cand_16384,16384,5.433349,2.894,"candidate; trainer=default(fastCOVER, --train); equal-compute budget=604.5s; accumulated=2.9s; evaluated on train-internal val split (seed=1729)"
